,Acc,F1,Train_size,Test_size,Features,CV,CLF
8,52.89855072463768,52.59736828198489,6287,138,RP,9,SVC
0,82.97258297258297,77.18664910949427,4346,2079,BERT,9,SVC
1,75.67804024496938,51.74021603100737,5282,1143,BERT,9,SVC
2,64.17910447761194,62.578365439416395,5956,469,BERT,9,SVC
3,74.49438202247191,74.48017391326316,5535,890,BERT,9,SVC
4,74.03767403767404,72.4166117336849,5204,1221,BERT,9,SVC
5,64.28571428571429,39.130434782608695,6411,14,BERT,9,SVC
6,16.738197424892704,15.23777377737774,6192,233,BERT,9,SVC
7,48.739495798319325,37.749764171168856,6187,238,BERT,9,SVC
8,45.65217391304348,39.18561607615019,6287,138,BERT,9,SVC
0,81.62578162578163,75.69471818313139,4346,2079,RPT + W2V,9,SVC
1,75.94050743657043,61.762483987869096,5282,1143,RPT + W2V,9,SVC
2,66.52452025586354,66.45069870647038,5956,469,RPT + W2V,9,SVC
3,65.0561797752809,63.780945314841055,5535,890,RPT + W2V,9,SVC
4,69.61506961506961,65.17449615412704,5204,1221,RPT + W2V,9,SVC
5,78.57142857142857,44.0,6411,14,RPT + W2V,9,SVC
6,5.579399141630901,5.5358985699542975,6192,233,RPT + W2V,9,SVC
7,57.98319327731093,54.70807642536349,6187,238,RPT + W2V,9,SVC
8,60.14492753623188,59.890080853987214,6287,138,RPT + W2V,9,SVC
0,82.58778258778258,76.57961954695168,4346,2079,W2V,9,SVC
1,77.25284339457568,63.02664450438434,5282,1143,W2V,9,SVC
2,68.86993603411514,68.60603726525822,5956,469,W2V,9,SVC
3,64.8314606741573,63.31414559241655,5535,890,W2V,9,SVC
4,67.64946764946765,61.96582645732802,5204,1221,W2V,9,SVC
5,57.14285714285714,36.36363636363637,6411,14,W2V,9,SVC
6,6.437768240343347,6.353244837758113,6192,233,W2V,9,SVC
7,53.36134453781513,46.1681100356597,6187,238,W2V,9,SVC
8,57.2463768115942,47.683608558761165,6287,138,W2V,9,SVC
0,69.64886964886965,62.95033445973138,4346,2079,Thread,9,SVC
1,70.69116360454943,49.34348478935288,5282,1143,Thread,9,SVC
2,53.09168443496801,51.33936993020185,5956,469,Thread,9,SVC
3,54.49438202247191,49.213152588797726,5535,890,Thread,9,SVC
4,61.58886158886159,52.41980981184751,5204,1221,Thread,9,SVC
5,71.42857142857143,41.666666666666664,6411,14,Thread,9,SVC
6,35.1931330472103,26.53218902044311,6192,233,Thread,9,SVC
7,57.14285714285714,54.631083202511775,6187,238,Thread,9,SVC
8,43.47826086956522,32.335931606738754,6287,138,Thread,9,SVC
